band,percentage,candidature,year,course_name,course_code
6,13.1,7921,2023,Physics,15330
5,25.84,7921,2023,Physics,15330
4,28.56,7921,2023,Physics,15330
3,21.6,7921,2023,Physics,15330
2,9.81,7921,2023,Physics,15330
1,1.09,7921,2023,Physics,15330
6,6.7,19046,2024,Biology,15030
5,28.89,19046,2024,Biology,15030
4,34.51,19046,2024,Biology,15030
3,18.14,19046,2024,Biology,15030
2,9.53,19046,2024,Biology,15030
1,2.22,19046,2024,Biology,15030
6,11.45,9722,2024,Chemistry,15050
5,27.37,9722,2024,Chemistry,15050
4,28.44,9722,2024,Chemistry,15050
3,20.0,9722,2024,Chemistry,15050
2,10.67,9722,2024,Chemistry,15050
1,2.08,9722,2024,Chemistry,15050
6,15.1,25398,2024,English Advanced,15140
5,52.47,25398,2024,English Advanced,15140
4,28.96,25398,2024,English Advanced,15140
3,2.97,25398,2024,English Advanced,15140
2,0.44,25398,2024,English Advanced,15140
1,0.06,25398,2024,English Advanced,15140
6,0.55,32994,2024,English Standard,15130
5,12.86,32994,2024,English Standard,15130
4,53.89,32994,2024,English Standard,15130
3,25.1,32994,2024,English Standard,15130
2,6.94,32994,2024,English Standard,15130
1,0.66,32994,2024,English Standard,15130
6,15.4,10210,2024,Legal Studies,15220
5,28.18,10210,2024,Legal Studies,15220
4,25.88,10210,2024,Legal Studies,15220
3,20.05,10210,2024,Legal Studies,15220
2,8.63,10210,2024,Legal Studies,15220
1,1.87,10210,2024,Legal Studies,15220
6,22.33,16561,2024,Mathematics Advanced,15255
5,27.7,16561,2024,Mathematics Advanced,15255
4,27.32,16561,2024,Mathematics Advanced,15255
3,17.4,16561,2024,Mathematics Advanced,15255
2,4.71,16561,2024,Mathematics Advanced,15255
1,0.54,16561,2024,Mathematics Advanced,15255
E4,34.95,8846,2024,Mathematics Extension 1,15250
E3,45.38,8846,2024,Mathematics Extension 1,15250
E2,17.16,8846,2024,Mathematics Extension 1,15250
E1,2.51,8846,2024,Mathematics Extension 1,15250
E4,40.24,3544,2024,Mathematics Extension 2,15260
E3,46.13,3544,2024,Mathematics Extension 2,15260
E2,11.96,3544,2024,Mathematics Extension 2,15260
E1,1.66,3544,2024,Mathematics Extension 2,15260
6,12.4,8215,2024,Physics,15330
5,25.92,8215,2024,Physics,15330
4,26.8,8215,2024,Physics,15330
3,21.01,8215,2024,Physics,15330
2,11.0,8215,2024,Physics,15330
1,2.86,8215,2024,Physics,15330
6,7.41,20710,2025,Biology,15030
5,28.32,20710,2025,Biology,15030
4,29.69,20710,2025,Biology,15030
3,21.23,20710,2025,Biology,15030
2,9.68,20710,2025,Biology,15030
1,3.66,20710,2025,Biology,15030
6,11.16,10369,2025,Chemistry,15050
5,26.89,10369,2025,Chemistry,15050
4,33.18,10369,2025,Chemistry,15050
3,18.56,10369,2025,Chemistry,15050
2,8.62,10369,2025,Chemistry,15050
1,1.59,10369,2025,Chemistry,15050
6,13.46,26293,2025,English Advanced,15140
5,51.78,26293,2025,English Advanced,15140
4,31.5,26293,2025,English Advanced,15140
3,3.01,26293,2025,English Advanced,15140
2,0.25,26293,2025,English Advanced,15140
1,0.01,26293,2025,English Advanced,15140
6,0.42,33653,2025,English Standard,15130
5,12.45,33653,2025,English Standard,15130
4,54.98,33653,2025,English Standard,15130
3,26.38,33653,2025,English Standard,15130
2,5.29,33653,2025,English Standard,15130
1,0.47,33653,2025,English Standard,15130
6,15.42,10080,2025,Legal Studies,15220
5,29.28,10080,2025,Legal Studies,15220
4,23.69,10080,2025,Legal Studies,15220
3,18.9,10080,2025,Legal Studies,15220
2,9.82,10080,2025,Legal Studies,15220
1,2.9,10080,2025,Legal Studies,15220
6,23.15,16809,2025,Mathematics Advanced,15255
5,28.31,16809,2025,Mathematics Advanced,15255
4,29.01,16809,2025,Mathematics Advanced,15255
3,13.94,16809,2025,Mathematics Advanced,15255
2,3.88,16809,2025,Mathematics Advanced,15255
1,1.71,16809,2025,Mathematics Advanced,15255
E4,34.71,9279,2025,Mathematics Extension 1,15250
E3,42.62,9279,2025,Mathematics Extension 1,15250
E2,18.04,9279,2025,Mathematics Extension 1,15250
E1,4.62,9279,2025,Mathematics Extension 1,15250
E4,41.49,3844,2025,Mathematics Extension 2,15260
E3,42.92,3844,2025,Mathematics Extension 2,15260
E2,14.31,3844,2025,Mathematics Extension 2,15260
E1,1.27,3844,2025,Mathematics Extension 2,15260
6,12.54,8817,2025,Physics,15330
5,25.19,8817,2025,Physics,15330
4,25.75,8817,2025,Physics,15330
3,21.21,8817,2025,Physics,15330
2,13.81,8817,2025,Physics,15330
1,1.5,8817,2025,Physics,15330
